match,attr5_1,attr_o
0,0.625,0.5714285714
0,0.625,0.6666666667
1,0.625,0.9523809524
1,0.625,0.6666666667
1,0.625,0.7619047619
0,0.625,0.6666666667
0,0.625,0.2857142857
0,0.625,0.5714285714
1,0.625,0.6666666667
0,0.625,0.5714285714
0,0.625,0.7619047619
0,0.625,0.6666666667
0,0.625,0.9523809524
1,0.625,0.8571428571
0,0.625,0.9523809524
0,0.625,0.6666666667
0,0.625,0.4761904762
0,0.625,0.6666666667
1,0.625,0.7619047619
0,0.625,0.5714285714
0,0.625,0.6666666667
0,0.625,0.5714285714
0,0.625,0.9523809524
0,0.625,0.6666666667
0,0.625,0.5714285714
0,0.625,0.6666666667
0,0.625,0.5714285714
0,0.625,0.380952381
0,0.625,0.6666666667
0,0.625,0.4761904762
0,0.625,0.5714285714
0,0.625,0.5714285714
0,0.625,0.9523809524
1,0.625,0.6666666667
0,0.625,0.7619047619
0,0.625,0.5714285714
0,0.625,0.6666666667
0,0.625,0.5714285714
1,0.625,0.6666666667
0,0.625,0.6666666667
0,0.625,0.5714285714
0,0.625,0.5714285714
0,0.625,0.9523809524
1,0.625,0.5714285714
0,0.625,0.4761904762
0,0.625,0.4761904762
0,0.625,0.1904761905
0,0.625,0.4761904762
1,0.625,0.4761904762
0,0.625,0.2857142857
0,0.625,0.6666666667
0,0.625,0.5714285714
0,0.625,0.9523809524
1,0.625,0.5714285714
0,0.625,0.8571428571
0,0.625,0.5714285714
0,0.625,0.4761904762
0,0.625,0.5714285714
1,0.625,0.5714285714
0,0.625,0.6666666667
0,0.625,0.6666666667
0,0.625,0.6666666667
0,0.625,0.9523809524
1,0.625,0.7619047619
0,0.625,0.7619047619
0,0.625,0.7619047619
0,0.625,0.6666666667
0,0.625,0.7619047619
1,0.625,0.8571428571
0,0.625,0.6666666667
0,0.625,0.7619047619
1,0.625,0.7619047619
1,0.625,0.9523809524
1,0.625,0.7619047619
1,0.625,0.8571428571
1,0.625,0.7619047619
0,0.625,0.5714285714
1,0.625,0.8571428571
1,0.625,0.7619047619
1,0.625,0.7619047619
0,0.625,0.5714285714
