match,age_diff,samerace,int_corr,attr_o
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
1,1,1,0.16,10
0,6,0,0.14,6
