│ Col # │ Name     │ Eltype  │ Missing │
├───────┼──────────┼─────────┼─────────┤
│ 1     │ iid      │ Int64   │ 0       │
│ 2     │ id       │ Int64   │ 1       │
│ 3     │ gender   │ Int64   │ 0       │
│ 4     │ idg      │ Int64   │ 0       │
│ 5     │ condtn   │ Int64   │ 0       │
│ 6     │ wave     │ Int64   │ 0       │
│ 7     │ round    │ Int64   │ 0       │
│ 8     │ position │ Int64   │ 0       │
│ 9     │ positin1 │ Int64   │ 1846    │
│ 10    │ order    │ Int64   │ 0       │
│ 11    │ partner  │ Int64   │ 0       │
│ 12    │ pid      │ Int64   │ 10      │
│ 13    │ match    │ Int64   │ 0       │
│ 14    │ int_corr │ Float64 │ 158     │
│ 15    │ samerace │ Int64   │ 0       │
│ 16    │ age_o    │ Int64   │ 104     │
│ 17    │ race_o   │ Int64   │ 73      │
│ 18    │ pf_o_att │ Float64 │ 89      │
│ 19    │ pf_o_sin │ Float64 │ 89      │
│ 20    │ pf_o_int │ Float64 │ 89      │
│ 21    │ pf_o_fun │ Float64 │ 98      │
│ 22    │ pf_o_amb │ Float64 │ 107     │
│ 23    │ pf_o_sha │ Float64 │ 129     │
│ 24    │ dec_o    │ Int64   │ 0       │
│ 25    │ attr_o   │ Float64 │ 212     │
│ 26    │ sinc_o   │ Float64 │ 287     │
│ 27    │ intel_o  │ Float64 │ 306     │
│ 28    │ fun_o    │ Float64 │ 360     │
│ 29    │ amb_o    │ Float64 │ 722     │
│ 30    │ shar_o   │ Float64 │ 1076    │
│ 31    │ like_o   │ Float64 │ 250     │
│ 32    │ prob_o   │ Float64 │ 318     │
│ 33    │ met_o    │ Int64   │ 385     │
│ 34    │ age      │ Int64   │ 95      │
│ 35    │ field    │ String  │ 63      │
│ 36    │ field_cd │ Float64 │ 82      │
│ 37    │ undergra │ String  │ 3464    │
│ 38    │ mn_sat   │ String  │ 5245    │
│ 39    │ tuition  │ String  │ 4795    │
│ 40    │ race     │ Int64   │ 63      │
│ 41    │ imprace  │ Int64   │ 79      │
│ 42    │ imprelig │ Int64   │ 79      │
│ 43    │ from     │ String  │ 79      │
│ 44    │ zipcode  │ String  │ 1064    │
│ 45    │ income   │ String  │ 4099    │
│ 46    │ goal     │ Int64   │ 79      │
│ 47    │ date     │ Int64   │ 97      │
│ 48    │ go_out   │ Int64   │ 79      │
│ 49    │ career   │ String  │ 89      │
│ 50    │ career_c │ Float64 │ 138     │
│ 51    │ sports   │ Int64   │ 79      │
│ 52    │ tvsports │ Int64   │ 79      │
│ 53    │ exercise │ Int64   │ 79      │
│ 54    │ dining   │ Int64   │ 79      │
│ 55    │ museums  │ Int64   │ 79      │
│ 56    │ art      │ Int64   │ 79      │
│ 57    │ hiking   │ Int64   │ 79      │
│ 58    │ gaming   │ Int64   │ 79      │
│ 59    │ clubbing │ Int64   │ 79      │
│ 60    │ reading  │ Int64   │ 79      │
│ 61    │ tv       │ Int64   │ 79      │
│ 62    │ theater  │ Int64   │ 79      │
│ 63    │ movies   │ Int64   │ 79      │
│ 64    │ concerts │ Int64   │ 79      │
│ 65    │ music    │ Int64   │ 79      │
│ 66    │ shopping │ Int64   │ 79      │
│ 67    │ yoga     │ Int64   │ 79      │
│ 68    │ exphappy │ Int64   │ 101     │
│ 69    │ expnum   │ Int64   │ 6578    │
│ 70    │ attr1_1  │ Float64 │ 79      │
│ 71    │ sinc1_1  │ Float64 │ 79      │
│ 72    │ intel1_1 │ Float64 │ 79      │
│ 73    │ fun1_1   │ Float64 │ 89      │
│ 74    │ amb1_1   │ Float64 │ 99      │
│ 75    │ shar1_1  │ Float64 │ 121     │
│ 76    │ attr4_1  │ Int64   │ 1889    │
│ 77    │ sinc4_1  │ Int64   │ 1889    │
│ 78    │ intel4_1 │ Int64   │ 1889    │
│ 79    │ fun4_1   │ Int64   │ 1889    │
│ 80    │ amb4_1   │ Int64   │ 1889    │
│ 81    │ shar4_1  │ Int64   │ 1911    │
